City,Compounded_polarity
Mumbai,2.593
Mumbai,8.579
Mumbai,-3.818
Mumbai,5.719
Mumbai,5.859
Mumbai,5.267
Mumbai,3.4
Mumbai,5.994
Mumbai,6.841
Mumbai,9.517
Mumbai,6.841
Mumbai,6.705
Mumbai,7.003
Mumbai,6.467
Mumbai,5.423
Mumbai,8.774
Mumbai,5.423
Mumbai,6.36
Mumbai,8.625
Mumbai,3.182
Mumbai,3.182
Mumbai,3.182
Mumbai,4.019
Mumbai,1.69
Mumbai,6.36
Mumbai,2.96
Mumbai,2.964
Mumbai,5.719
Mumbai,7.418
Mumbai,5.859
Mumbai,3.384
Mumbai,4.019
Hyderabad,7.43
Hyderabad,8.126
Hyderabad,7.603
Hyderabad,5.719
Hyderabad,8.217
Hyderabad,5.719
Hyderabad,9.274
Hyderabad,4.927
Hyderabad,4.019
Hyderabad,6.597
Hyderabad,8.402
Hyderabad,9.136
Hyderabad,5.719
Hyderabad,9.201
Hyderabad,8.996
Hyderabad,9.1
Hyderabad,9.201
Hyderabad,2.263
Hyderabad,3.4
Hyderabad,9.153
Hyderabad,-2.5
Hyderabad,-2.057
Hyderabad,5.106
Hyderabad,5.994
Hyderabad,5.267
Hyderabad,-4.939
Hyderabad,8.575
Hyderabad,6.792
Hyderabad,6.114
Hyderabad,2.96
Hyderabad,5.859
Hyderabad,7.184
Hyderabad,7.964
Hyderabad,8.074
Hyderabad,5.994
Hyderabad,6.249
Hyderabad,-3.412
Hyderabad,7.783
Hyderabad,7.43
Hyderabad,5.859
Hyderabad,5.267
Hyderabad,5.994
Hyderabad,6.369
Hyderabad,6.591
Hyderabad,5.719
Hyderabad,9.448
Hyderabad,6.776
Hyderabad,6.799
Hyderabad,5.859
Hyderabad,6.229
Hyderabad,8.126
Hyderabad,3.612
Hyderabad,3.818
Hyderabad,9.136
Hyderabad,-5.574
Hyderabad,8.074
Hyderabad,-2.942
Hyderabad,3.4
Hyderabad,8.943
Hyderabad,8.807
Hyderabad,6.841
Hyderabad,8.356
Hyderabad,6.688
Hyderabad,6.369
Hyderabad,7.964
Hyderabad,-5.267
Hyderabad,2.96
Hyderabad,7.125
Hyderabad,8.316
Hyderabad,0.869
Hyderabad,4.019
Hyderabad,6.674
Hyderabad,3.607
Hyderabad,1.69
Hyderabad,5.267
Hyderabad,6.369
Hyderabad,7.65
Hyderabad,8.225
Hyderabad,-6.249
Hyderabad,2.732
Hyderabad,6.289
Hyderabad,5.719
Hyderabad,5.54
Hyderabad,8.774
Hyderabad,4.588
Hyderabad,7.783
Hyderabad,6.114
Hyderabad,8.427
Hyderabad,8.621
Hyderabad,4.019
